Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,Rating
EverGrace,PS2,2000,Role-Playing,0.35,59,12,7.8,T
Spider-Man,PS,2000,Action,3.13,87,19,9,E
World Destruction League: Thunder Tanks,PS,2000,Action,0.17,35,4,1.2,T
The Sims,PC,2000,Simulation,0.05,92,38,7.9,T
Street Fighter EX3,PS2,2000,Fighting,0.85,64,17,7.9,T
Resident Evil: Survivor,PS,2000,Action,0.71,39,10,7,M
NBA Live 2001,PS,2000,Sports,1.25,86,10,8,E
The Typing of the Dead,DC,2000,Shooter,0.05,83,12,7.8,M
Mega Man X5,PS,2000,Platform,0.75,76,10,8.9,E
Knockout Kings 2001,PS,2000,Fighting,0.41,84,11,8.5,T
Digimon World 2,PS,2000,Role-Playing,0.58,42,5,7.6,E
Unreal Tournament,PS2,2000,Shooter,0.58,77,23,6.8,M
Medal of Honor: Underground,PS,2000,Shooter,0.97,86,16,9,T
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,0.58,77,14,8.7,M
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,0.15,30,5,6.9,E
Ring of Red,PS2,2000,Strategy,0.11,82,15,8.7,T
Army Men: Sarge's Heroes 2,PS,2000,Shooter,0.24,48,8,7.3,T
Sega GT,DC,2000,Racing,0.13,84,25,7.7,E
NHL 2001,PS2,2000,Sports,0.96,85,22,8.1,E
Gadget Racers,PS2,2000,Racing,0.08,67,10,7.4,E
Rollcage Stage II,PS,2000,Racing,0.09,85,7,8.9,E
Tony Hawk's Pro Skater 2,PS,2000,Sports,4.68,98,19,7.7,T
Armored Core 2,PS2,2000,Simulation,0.79,78,23,8.4,T
Destruction Derby Raw,PS,2000,Racing,0.14,69,9,7.3,E
Silpheed: The Lost Planet,PS2,2000,Shooter,0.07,72,12,7.5,T
Kessen,PS2,2000,Strategy,0.95,75,20,8.4,T
Mega Man Legends 2,PS,2000,Adventure,0.42,76,10,8.8,E
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,0.15,65,4,7,E
Madden NFL 2001,PS2,2000,Sports,1.5,91,25,7.7,E
Disney's Aladdin in Nasira's Revenge,PS,2000,Action,0.09,61,11,8.3,E
Dave Mirra Freestyle BMX,PS,2000,Sports,1.05,82,14,8.4,E
Dino Crisis 2,PS,2000,Action,1.21,86,13,9,M
Driver 2,PS,2000,Action,4.73,62,14,7.7,T
Fantavision,PS2,2000,Puzzle,0.47,72,18,6.3,E
Ultimate Fighting Championship,PS,2000,Fighting,0.25,53,6,7.4,T
Madden NFL 2001,PS,2000,Sports,1.67,90,14,6.8,E
Dance Dance Revolution Disney Mix,PS,2000,Simulation,0.04,74,7,8.3,E
The Sims: Livin Large,PC,2000,Misc,2.99,82,23,6.6,T
SSX,PS2,2000,Sports,1.66,93,35,8.3,E
Point Blank 3,PS,2000,Shooter,0.02,78,5,8.4,T
Hogs of War,PS,2000,Strategy,0.02,62,10,8.8,T
Eternal Ring,PS2,2000,Role-Playing,0.3,62,13,5.3,T
NFL Fever 2002,XB,2000,Sports,0.99,79,24,8.5,E
Diablo II,PC,2000,Role-Playing,0.13,88,34,8.8,M
Phantasy Star Online,DC,2000,Role-Playing,0.2,89,21,9.1,T
Duke Nukem: Land of the Babes,PS,2000,Shooter,0.08,37,7,6.8,M
World Destruction League: Thunder Tanks,PS2,2000,Action,0.17,65,16,5.9,T
NASCAR 2001,PS,2000,Racing,0.81,73,8,6.1,E
Tokyo Xtreme Racer Zero,PS2,2000,Racing,1.5,76,15,8.9,E
The Bouncer,PS2,2000,Action,0.99,66,20,8,T
Ball Breakers,PS,2000,Action,0.18,68,10,5.3,E
Tales of Destiny II,PS,2000,Role-Playing,0.81,78,9,8.7,T
Army Men: Air Attack 2,PS,2000,Action,0.3,74,8,5.3,T
Final Fantasy IX,PS,2000,Role-Playing,5.3,94,22,8.9,T
Rayman 2: Revolution,PS2,2000,Platform,0.3,90,16,8.2,E
Dark Cloud,PS2,2000,Role-Playing,1.54,80,27,8.2,T
Ridge Racer V,PS2,2000,Action,1.24,78,20,7.7,E
Vagrant Story,PS,2000,Role-Playing,0.87,92,19,8.3,T
RC Revenge Pro,PS2,2000,Racing,0.17,49,13,7.6,E
Romance of the Three Kingdoms VII,PS2,2000,Strategy,0.32,72,10,8.7,E
Skies of Arcadia,DC,2000,Role-Playing,0.09,93,21,9.4,T
Tekken Tag Tournament,PS2,2000,Fighting,4.05,85,25,8.5,T
Buzz Lightyear of Star Command,PS,2000,Platform,0.63,54,10,5.3,E
Breath of Fire IV,PS,2000,Role-Playing,0.56,83,10,8.9,T
007: The World is not Enough,PS,2000,Action,0.92,61,11,6.7,T
Deus Ex,PC,2000,Role-Playing,0.01,90,28,9.3,M
MotoGP,PS2,2000,Racing,0.27,77,16,6,E
Summoner,PS2,2000,Role-Playing,0.51,74,16,7.8,T
Capcom vs. SNK,DC,2000,Fighting,0.22,80,17,9,T
Midnight Club: Street Racing,PS2,2000,Racing,2.63,78,18,7.8,T
Colin McRae Rally 2.0,PS,2000,Racing,0.91,90,13,8.7,E
Mortal Kombat: Special Forces,PS,2000,Fighting,0.21,28,7,2.4,M
Alien Resurrection,PS,2000,Shooter,0.16,61,12,7.5,M
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,0.31,54,15,5.8,T
NHL 2001,PS,2000,Sports,0.63,88,10,7.7,E
FIFA 2001 Major League Soccer,PS,2000,Sports,0.32,85,10,7.8,E
Theme Park Roller Coaster,PS2,2000,Strategy,0.48,82,11,7.9,E
Sky Odyssey,PS2,2000,Simulation,0.32,79,18,8.4,E
Disney's Donald Duck: Goin' Quackers,PS2,2000,Platform,0.08,73,10,7.3,E
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,0.21,64,14,7.9,T
NFL 2K1,DC,2000,Sports,1.09,97,22,6,E
HBO Boxing,PS,2000,Fighting,0.21,26,7,4,E
Spyro: Year of the Dragon,PS,2000,Platform,3.71,91,15,8.8,E
Evil Dead: Hail to the King,PS,2000,Adventure,0.27,51,8,6,M
Strider 2,PS,2000,Platform,0.08,69,15,8.1,E
